City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Evensk,RU,2021-02-02 21:37:49,61.95,159.2333,7.38,94,100,7.09
166,Husavik,IS,2021-02-02 21:37:49,66.0449,-17.3389,8.6,72,0,6.91
167,Paso De Los Toros,UY,2021-02-02 21:37:49,-32.8167,-56.5167,77.0,78,90,13.6
168,Esperance,AU,2021-02-02 21:37:50,-33.8667,121.9,64.4,68,75,17.27
169,Arona,ES,2021-02-02 21:37:50,28.0996,-16.681,66.99,77,75,9.22
170,Kaeo,NZ,2021-02-02 21:37:50,-35.1,173.7833,75.0,59,2,5.01
171,Chauk,MM,2021-02-02 21:37:51,20.8833,94.8167,60.26,38,0,3.89
172,Honningsvag,NO,2021-02-02 21:37:52,70.9821,25.9704,28.4,64,75,28.77
173,Ajdabiya,LY,2021-02-02 21:37:52,30.7554,20.2263,58.35,69,23,5.41
174,Biltine,TD,2021-02-02 21:37:53,14.5333,20.9167,72.0,19,0,8.39
175,Green River,US,2021-02-02 21:34:40,41.5286,-109.4662,41.0,42,1,6.91
176,Roebourne,AU,2021-02-02 21:37:53,-20.7833,117.1333,80.82,82,32,13.96
177,Asau,RO,2021-02-02 21:37:54,46.4333,26.4,32.0,75,6,5.17
178,Linxia,CN,2021-02-02 21:37:54,35.6003,103.2064,25.66,68,94,1.86
179,Nelson Bay,AU,2021-02-02 21:37:54,-32.7167,152.15,69.01,88,40,8.05
180,Rabak,SD,2021-02-02 21:35:13,13.1809,32.74,80.55,19,0,11.3
181,Sibolga,ID,2021-02-02 21:37:55,1.7427,98.7792,75.54,80,98,3.94
182,Poreba,PL,2021-02-02 21:37:55,50.4883,19.339,36.0,87,75,5.75
183,Port Lincoln,AU,2021-02-02 21:33:20,-34.7333,135.8667,62.98,78,74,12.75
184,Daltenganj,IN,2021-02-02 21:37:56,24.0333,84.0667,49.93,49,0,2.26
185,Kalianget,ID,2021-02-02 21:37:56,-7.05,113.9333,78.62,82,100,12.28
186,Havre-Saint-Pierre,CA,2021-02-02 21:37:56,50.2334,-63.5986,23.0,63,90,9.22
187,Talaya,RU,2021-02-02 21:37:57,61.3833,152.75,-29.09,81,100,5.01
188,Flin Flon,CA,2021-02-02 21:37:57,54.7682,-101.865,21.2,93,90,5.75
189,Ambon,ID,2021-02-02 21:37:57,-3.6954,128.1814,78.8,83,40,4.61
190,Paracuru,BR,2021-02-02 21:37:58,-3.41,-39.0306,81.0,71,5,18.01
191,Suoyarvi,RU,2021-02-02 21:37:58,62.0833,32.35,5.31,95,5,3.8
