City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
232,Lincoln,40.8,-96.667,24.01,58,1,6.91,US,clear sky
233,Gari,59.4307,62.3497,33.75,98,100,9.42,RU,light rain
234,Saint-Georges,12.0564,-61.7485,82.4,65,75,26.46,GD,broken clouds
235,Namanyere,-7.5167,31.05,68.22,91,14,2.55,TZ,moderate rain
236,Abha,18.2164,42.5053,60.8,58,0,11.5,SA,clear sky
237,Burhar,23.2167,81.5333,60.76,46,35,3.91,IN,scattered clouds
238,Friesach,46.9553,14.4058,44.6,81,20,2.3,AT,few clouds
239,Neuquen,-38.9516,-68.0591,93.2,27,0,10.36,AR,clear sky
240,Nicolet,46.2168,-72.6158,23.0,86,90,11.5,CA,light snow
241,Abu Samrah,35.3029,37.1841,52.93,80,37,5.32,SY,scattered clouds
242,West Bay,19.3667,-81.4167,80.01,83,75,5.75,KY,broken clouds
243,Hithadhoo,-0.6,73.0833,82.89,78,100,14.76,MV,overcast clouds
244,Marzuq,14.4,46.4667,61.66,52,0,8.66,YE,clear sky
245,Nemuro,43.3236,145.575,22.75,88,4,9.93,JP,clear sky
246,Namibe,-15.1961,12.1522,75.2,64,20,18.41,AO,few clouds
247,Kodiak,57.79,-152.4072,24.8,86,40,6.91,US,scattered clouds
248,Taraz,42.9,71.3667,37.4,60,96,11.18,KZ,overcast clouds
249,Pitimbu,-7.4706,-34.8086,87.8,58,20,12.66,BR,few clouds
250,Thinadhoo,0.5333,72.9333,82.67,76,100,12.46,MV,overcast clouds
251,Ozernovskiy,51.5,156.5167,13.86,88,99,5.01,RU,light snow
252,Haines Junction,60.7522,-137.5108,-27.4,68,62,1.14,CA,broken clouds
253,Opuwo,-18.0607,13.84,88.12,27,85,4.5,NA,overcast clouds
254,Hoi An,15.8794,108.335,68.0,94,20,1.14,VN,mist
255,Kloulklubed,7.0419,134.2556,80.6,83,75,9.22,PW,broken clouds
256,Bud,39.447,-86.1758,27.0,72,49,15.48,US,scattered clouds
257,Nogent-Le-Rotrou,48.3333,1.0,51.8,82,100,2.3,FR,overcast clouds
258,Babanka,48.7097,30.4483,23.63,94,10,5.26,UA,clear sky
259,Padang,-0.9492,100.3543,78.8,89,40,2.3,ID,scattered clouds
260,Anloga,5.7947,0.8973,89.6,70,20,13.8,GH,few clouds
261,Broken Hill,-31.95,141.4333,66.2,39,0,11.5,AU,clear sky
262,Laguna,38.421,-121.4238,43.0,93,1,3.44,US,clear sky
263,Los Llanos De Aridane,28.6585,-17.9182,60.8,67,40,14.97,ES,scattered clouds
264,Cradock,-32.1642,25.6192,79.09,57,15,19.57,ZA,few clouds
265,Mahebourg,-20.4081,57.7,80.6,78,75,4.61,MU,broken clouds
266,Hobyo,5.3505,48.5268,76.6,77,0,14.05,SO,clear sky
267,Iqaluit,63.7506,-68.5145,19.4,79,75,17.27,CA,snow
268,Elvange,49.5053,6.3164,46.99,100,75,3.44,LU,broken clouds
269,Epernay,49.05,3.95,51.8,82,90,2.3,FR,overcast clouds
270,Linxia,35.6003,103.2064,30.07,71,9,0.49,CN,clear sky
271,Orlik,52.5178,99.825,-9.42,80,60,3.15,RU,broken clouds
272,Grindavik,63.8424,-22.4338,37.4,81,75,26.46,IS,broken clouds
273,Upernavik,72.7868,-56.1549,4.86,76,100,2.95,GL,overcast clouds
274,Klaksvik,62.2266,-6.589,33.8,64,71,9.22,FO,broken clouds
275,Ciudad Bolivar,8.1222,-63.5497,87.51,48,86,13.04,VE,overcast clouds
276,Vacaria,-28.5122,-50.9339,71.01,40,3,5.01,BR,clear sky
277,Nikolskoye,59.7035,30.7861,7.0,78,40,11.18,RU,scattered clouds
